Poste;Entreprise;Ville;Salaire/TJM;Description;Lien;tech_score;salaire_annuel_estime
Data analyst - Alteryx / Power BI;NEXORIS;France / Remote;600 €⁄j;Notre Client bancaire recherche un consultant Data analyst (H/F) pour intervenir au sein d'une équipe de la Direction Finance traitant les besoins liés aux reportings règlementaires Finance et Risques, à savoir industrialisation de processus métiers et création de reportings automatisés. La mission interviendra sur différents processus (risques ou finance) en mode support, évolution et surtout projet : - Création de tableaux de bord sur Power BI - Industrialisation de processus métiers par le développement de workflows Alteryx et leur déploiement sur Alteryx Server - Création d’applications à l'aide de PowerApps. - Accompagner les équipes Finance et Risques dans l’automatisation de leurs reportings - Participer à des projets transverses Finance/Risques en mode projet, évolution ou support Environnement : Power BI, Alteryx, SSIS, SSAS, SQL Server, Sharepoint, PowerApps, Power Automate.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-alteryx-power-bi-8;5;132000.0
Consultant BI / Data ANALYST (Cognos , SQL  , Snowflake , ETL/ELT )  (H/F);LK TECHNOLOGY;Paris, France;400-550 €⁄j;Dans le cadre de la modernisation de son écosystème Data, notre client déploie une nouvelle plateforme basée sur Azure , intégrant Snowflake et Power BI . Ce projet s’inscrit dans une démarche globale de transformation visant à migrer un volume important de rapports existants provenant d’un ancien environnement on-premise (Datawarehouse + Cognos) vers une infrastructure Cloud plus performant Contexte Dans le cadre de la mise en place d’une nouvelle plateforme Data sur Azure, intégrant Snowflake et Power BI , notre client du secteur bancaire lance un vaste chantier de migration de l’ensemble de ses rapports existants depuis une plateforme on-premise (Datawarehouse + Cognos) vers ce nouvel environnement Cloud. Environ 250 rapports ont été identifiés comme prioritaires. Ils sont principalement utilisés au quotidien par les équipes métiers (recouvrement, fraude, contrôle interne, etc.) via un portail interne. Ces rapports étant essentiels à l’activité opérationnelle, l’objectif est de les reproduire à l’identique , sans refonte fonctionnelle, pour respecter les échéances fixées à août 2025 . Les choix finaux concernant le modèle (datamarts dédiés, vues sur datamart global, etc.) et l’outil de restitution sont encore en cours de définition, et le consultant pourra contribuer à ces orientations. Mission Vous participerez à la reconstruction des rapports sur la nouvelle plateforme Data. Vous travaillerez en étroite collaboration avec deux experts internes (Datawarehouse & Cognos). Vos principales responsabilités :1. Analyse des rapports Cognos existants Étude des frameworks, champs, règles de gestion, filtres et logiques de calcul. 2. Recréation des rapports dans Snowflake / Power BI Construction des couches nécessaires dans Snowflake avec les Data Engineers / Analysts. Création éventuelle de dashboards Power BI (cas limités). 3. Validation et contrôle de qualité Comparaison des résultats Snowflake avec les rapports Cognos. Investigation des écarts avec les référents internes (métier, Data Office, DSI). 4. Documentation Documentation des tables/vues créées (Excel pour alimenter Data Galaxy). Définition et rédaction de la documentation fonctionnelle liée aux rapports.;https://www.free-work.com/fr/tech-it/developpeur-base-de-donnees-sql-pl-sql-oracle/job-mission/consultant-bi-power-bi-h-f-3;5;104500.0
Data web analyst;SMILE;France / Remote;430-500 €⁄j;L’équipe Data Science recherche une prestation de Data Science Analyse - Edito & Produit. Une expérience de 2 ans est requise pour cette prestation. Prestations attendues : Déroulement des analyses : - Être à l’écoute et comprendre les besoins métier, - Proposer des méthodes et des axes d’analyses pertinents pour y répondre, - Tirer des enseignements et faire des recommandations en se basant sur les résultats de l’analyse - Synthétiser les résultats, les mettre en forme (Excel, Power Point) et les restituer à l’oral aux équipes métier - Communiquer régulièrement sur les résultats des analyses réalisées à l’ensemble de la direction Analyses pour enrichir l’animation et la stratégie éditoriales : - Profiling utilisateurs : par catégories de contenus, programmes, par chaines, par device … - Analyses de parcours : programmes ou catégories recrutants, fidélisants - Segmentation des utilisateurs selon leurs préférences de contenus, les moments de consommation, … Analyses pour enrichir la stratégie produit : - Audit des données issues des nouvelles fonctionnalités - Analyse de l’usage des fonctionnalités, profiling - Analyse de l’impact de nouvelles fonctionnalités sur le comportement utilisateur : recrutement, engagement - Analyse des parcours des utilisateurs sur les différentes offres digitales : entrée sur la plateforme, accès aux contenus, … Dashboards : - Être référent sur les dashboards de connaissance utilisateurs - Garantir la maintenance et la bonne mise à jour des dashboards existants - Ajustement des existants (nouveaux indicateurs, modifications de calculs,…) - Être force de proposition sur les évolutions des dashboards existants - Créer de nouveaux Dashboards : prise de besoin avec le métier, identification des indicateurs pertinents, maquette de visualisation, définition de la structure de la donnée, création du dashboard Power BI - Communiquer sur les dashboards, accompagner les équipes métiers dans leur utilisation, mettre en place des démos, … Expertises demandées pour la réalisation de la prestation : Pour mener à bien la prestation, le prestataire devra maitriser les expertises suivantes : · Au moins 2 ans d’expérience sur des analyses de connaissance utilisateurs ou clients dans les secteurs de l’audiovisuel, du retail ou du ecommerce · Maîtrise avancée de SQL (au moins 2 ans d’expérience en SQL) · Maîtrise de Google Cloud Platform et maîtrise de Big Query · Connaissance de Power Bi · Connaissance des données issues de Piano Analytics · Connaissance de l’interface Piano Analytics · Connaissance de la mesure Mediametrie et des données Nielsen · Expérience dans le secteur audiovisuel sur des problématiques éditoriales · Expérience dans le secteur digital, ecommerce · Goût pour les contenus audiovisuels / vidéos · Capacité d’analyse, de synthétisation et de vulgarisation;https://www.free-work.com/fr/tech-it/administrateur-web/job-mission/data-web-analyst;5;102300.0
Data Analyst - Power BI Montpellier;Cherry Pick;France / Remote;450 €⁄j;"En quelques mots Cherry Pick est à la recherche d'un ""Data Analyst - Power BI"" pour un client dans le secteur de l'Energie Description 🎯 Contexte de la mission Dans le cadre de la consolidation et du développement des outils de pilotage métiers , l’entreprise recherche un Data Analyst Power BI confirmé afin de garantir la performance, la fiabilité et l’évolution de ses tableaux de bord stratégiques. L’objectif : assurer la maintenance en condition opérationnelle (MCO) des rapports critiques, développer de nouveaux tableaux Power BI et contribuer à l’amélioration de la qualité des données. ⚙️ Rôle et responsabilités Intégré(e) à l’équipe Data et en lien direct avec les directions métiers, le Data Analyst aura un rôle clé dans la valorisation des données et la fiabilité des indicateurs . Vos missions principales : Assurer le MCO des tableaux Power BI critiques : supervision, rafraîchissement, vérification des sources et résolution d’anomalies. Concevoir et déployer de nouveaux tableaux de bord Power BI répondant aux besoins métiers (performance, ergonomie, fiabilité). Analyser et comprendre les besoins métiers variés, formaliser les règles de gestion et traduire les demandes en solutions concrètes. Identifier les anomalies de données et sensibiliser les métiers à la qualité et à la cohérence des informations. Collaborer avec les équipes techniques (AWS, Dataiku, Power Platform) pour améliorer les flux de données et la gouvernance . Documenter les processus, les évolutions et les incidents afin d’assurer la traçabilité et la continuité des projets. Produire les reportings d’avancement et suivre les demandes dans Jira.";https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-power-bi-montpellier;5;99000.0
Data Analyst (H/F);nahange;France / Remote;310-450 €⁄j;Collecte, Traitement de données avec analyse, nettoyage, complétion, correction, uniformisation Proposition et mise en œuvre d’outils et d’algorithmes de traitement de données Modèles avancés pour des analyses prédictives précises Mise en oeuvre des tableaux de bord pour visualisation des métiers Maitrise modélisation objet UML Maîtrise langage SQL, Python, R, Visual Studio Code et EXCEL skills for Data analyst (Power query, Pivot tables, Power Pivot) Exploration et requêtage des différents types de bases de données;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-h-f-428;5;83600.0
Data analyst confirmé marketing client;ANDEMA;Lille, Hauts-de-France;350-400 €⁄j;Contexte de la mission : Dans le cadre du renforcement de notre département IT Data, nous recherchons un(e) Data Analyst Confirmé(e) pour accompagner les équipes Marketing, CRM et Digital dans l'exploitation et l'analyse des données clients. L'objectif : améliorer la connaissance client, affiner la segmentation, et optimiser les actions marketing grâce à une analyse fine des comportements et parcours clients. Activités et responsabilités de la mission - Analyser les données clients pour identifier des comportements, profils et tendances de consommation. - Construire et maintenir des segmentation clients pertinentes (RFM, appétence, valeur client, cycle de vie.). - Réaliser des analyses ad hoc pour répondre aux besoins des équipes Marketing, CRM, Digital, Produit. - Mettre en place des tableaux de bord Power BI pour suivre les KPIs liés à l'acquisition, l'activation, la fidélisation, et la rétention client. - Collaborer avec les équipes Data Engineering pour la préparation et modélisation des données dans l'environnement Snowflake. - Identifier des opportunités business via des analyses prédictives ou des insights data-driven. - Contribuer à la qualité et cohérence des données clients, en lien avec les équipes IT et Data Governance. Résultats attendus - Mise en place de profils clients exploitables par les équipes métier. - Amélioration de la performance des campagnes marketing grâce à une segmentation plus fine. - Accroissement de la connaissance client et des insights comportementaux. - Mise en place de tableaux de bord dynamiques et accessibles, facilitant la prise de décision. Démarrage : rapide Localisation : métropolie lilloise (1j de télétravail par semaine non négociable);https://www.free-work.com/fr/tech-it/responsable-directeur-marketing-online-cmo/job-mission/data-analyst-confirme-marketing-client-1;5;82500.0
‼️URGENT ‼️ 2x Data Analyst Power BI – Industrie ‼️;Groupe Aptenia;Strasbourg, Grand Est;360 €⁄j;🔍 Nous recherchons deux Data Analysts Power BI pour renforcer une équipe projet dans l’industrie. La mission est de longue durée. 📍 Strasbourg (sur site obligatoire) 📅 Démarrages : 1 ASAP + 1 en janvier 🎯 Missions : ✅ Création & optimisation de dashboards Power BI ✅ Analyse et traitement de données (Python, SQL) ✅ Contribution aux workflows Git CI/CD ✅ Échanges réguliers avec les métiers pour comprendre les besoins 👉 3 à 4 ans d’expérience en Data Analysis 👉 À l’aise en environnement industriel 👉 Force de proposition et autonomie;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/urgent-2x-data-analyst-power-bi-industrie;5;79200.0
Profil Data (Data Analyst ou Data Scientist);MLMCONSEIL;Paris, France;100-500 €⁄j;Pour le besoi de mon client ,je suis à la recherche d’ un profil expérimenté, autonome, avec des compétences DATA forte (Data analyst ou Data scientist senior) Analyser les parcours d’achat des usagers et leurs besoins dans différents types de gares. Construire une planification fiable des besoins en canaux de distribution à horizon 2027 à partir d’un modèle dynamique. Faire évoluer ce modèle vers un outil d’anticipation permettant de projeter les besoins par gare à moyen terme. Compétences attendues : maîtrise de Python, SQL, Excel et Power BI.;https://www.free-work.com/fr/tech-it/data-scientist/job-mission/profil-data-data-analyst-ou-data-scientist;5;66000.0
Data Analyst;BUBBLE GO;Paris, France;N/C;En tant que Data Analyst au sein de la division e-banking d’une des principales institutions financières européennes, vous serez chargé·e de transformer des données complexes en insights exploitables, afin d’orienter les décisions stratégiques et l’innovation dans la banque digitale. Vous travaillerez en étroite collaboration avec des équipes pluridisciplinaires, en exploitant des outils analytiques avancés pour améliorer l’expérience client, optimiser la performance opérationnelle et soutenir la conformité et la sécurité dans un environnement dynamique et exigeant. Vos missions principales Concevoir, développer et maintenir des tableaux de bord et rapports interactifs pour soutenir l’intelligence décisionnelle. Extraire, transformer et charger (ETL) les données issues de divers systèmes bancaires via SSIS, en garantissant leur qualité et leur cohérence. Réaliser des analyses approfondies sur des bases MSSQL : requêtage, modélisation, nettoyage. Collaborer avec les parties prenantes pour recueillir les besoins métier et les traduire en solutions techniques. Surveiller et évaluer les flux de données, résoudre les problèmes et proposer des améliorations. Documenter les processus, standards et méthodologies pour assurer la transparence et la reproductibilité. Réaliser des analyses ponctuelles pour soutenir la conformité réglementaire, la gestion des risques et le développement produit. Participer à la migration et à l’intégration de systèmes legacy vers des plateformes analytiques modernes.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-738;5;0.0
DATA Analyst SIG - GPS;Cherry Pick;Paris, France;550-580 €⁄j;"En quelques mots Cherry Pick est à la recherche d'un ""DATA Analyst SIG - GPS"" pour un client dans le secteur Public Description Data Analyst SIG – Expert Données GPS & Mobilité (H/F) Technologie clé : Databricks / Python / SQL Spatial Niveau : Expérimenté / Confirmé 🌐 Le Contexte Nous recherchons pour notre client, acteur majeur dans le secteur de la Mobilité/Logistique , un Data Analyst confirmé possédant une expertise pointue en Géomatique (SIG) . Vous rejoignez une équipe Data où la dimension spatiale est critique. Votre rôle ne sera pas simplement d'analyser des chiffres, mais de faire ""parler"" des millions de points GPS bruts pour reconstituer des parcours, optimiser des tournées et comprendre la réalité terrain des déplacements. 🎯 Votre Mission : Dompter la donnée GPS Vous êtes le référent sur le traitement et la valorisation des données de géolocalisation. Vous transformez une donnée brute, souvent bruitée, en informations métier fiables (arrêts, trajets, adresses). Vos défis techniques & fonctionnels : Qualité & Nettoyage de la donnée GPS : Détection et correction des points aberrants (outliers). Traitement du bruit GPS et lissage des trajectoires. Map Matching & Rapprochement Voirie : Projeter les points GPS bruts sur le filaire de voirie (snapping) pour reconstituer le trajet réel emprunté. Gérer les cas complexes (tunnels, zones urbaines denses, ""canyons urbains""). Analyse des Arrêts & Adresses : Identifier les arrêts logistiques vs les arrêts de circulation (feux, bouchons). Réconcilier les positions d'arrêt avec les adresses distribuées (Geocoding / Reverse Geocoding précis). Détecter les changements de moyens de locomotion (multimodalité). Analyse Comportementale & Temporelle : Comparer les parcours réalisés entre différentes journées (analyse de régularité, détection d'anomalies de parcours). Calculer des indicateurs de performance spatiaux (ETA, temps de trajet réel vs théorique).";https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-sig-gps;4;124300.0
Data Analyst - Infogérance - Lille (H/F);EASY PARTNER;Lille, Hauts-de-France;500-550 €⁄j;Rejoignez l'une des entreprises leaders dans l'optimisation et la transformation digitale au sein du secteur des services numériques. Basée à Lille et rayonnant sur tout le territoire français, notre entreprise s'engage à offrir des solutions innovantes à ses clients afin de les accompagner dans leur évolution. Face à une croissance constante et à une demande accrue pour des analyses de données précises et transformantes, nous recherchons activement un(e) Data Analyst pour renforcer notre pôle Data. Vous travaillerez étroitement avec les métiers pour transcrire leurs besoins en solutions data-driven, assurant la qualité et la pertinence des insights. Missions - Élaborer le cadrage fonctionnel des cas d’usage avec les différents métiers de l'entreprise. - Traduire des besoins métier en datasets, KPIs et tableaux de bord efficaces. - Réaliser des explorations approfondies de données avec un fort accent sur le storytelling. - Assurer la documentation et la qualité des données. - Contribuer à la mise en œuvre des cas d’usage sur Power BI / Fabric en tant que data consommateur. - Fournir un support aux POC/expérimentations IA en collaboration avec les Data Engineers.;https://www.free-work.com/fr/tech-it/data-analyst/job-mission/data-analyst-infogerance-lille-h-f;4;115500.0
